thread-root,total-thread-count,matrix-width,matrix-size,copy-to-device[ms],bandwidth-to-device[GB/s],copy-from-device[ms],bandwidth-from-device[GB/s],kernel-matrix-multiplication[ms],cpu-matrix-multiplication[ms],speedup-kernel,speedup-overall
        21,       441,      1300,   1690000,   2.27351,   5.94675,   1.03793,   6.51297,    95.536,   1825.67,   19.1097,   18.4695
        21,       441,      1400,   1960000,   2.62447,   5.97454,   1.20066,   6.52973,   119.082,   2282.25,   19.1654,   18.5689
        21,       441,      1500,   2250000,   3.00483,   5.99035,   1.37632,    6.5392,   151.301,   2848.07,   18.8238,   18.2941
        21,       441,      1600,   2560000,   3.40874,   6.00809,   1.56454,   6.54504,   190.038,   3409.29,   17.9401,   17.4826
        22,       484,      1100,   1210000,   1.63306,   5.92753,  0.750108,    6.4524,   55.2097,   1116.23,    20.218,   19.3814
        22,       484,      1200,   1440000,   1.93883,   5.94173,  0.885393,   6.50559,   71.8967,   1419.76,   19.7473,   19.0009
        22,       484,      1300,   1690000,   2.26834,    5.9603,   1.03695,   6.51911,   96.3157,   1834.27,   19.0444,   18.4125
        22,       484,      1400,   1960000,   2.62622,   5.97057,   1.20206,   6.52215,   116.597,   2305.16,   19.7702,   19.1418
        22,       484,      1500,   2250000,    3.0026,   5.99481,    1.3928,   6.46182,   151.247,   2874.79,   19.0072,   18.4704
        22,       484,      1600,   2560000,   3.41083,   6.00441,   1.56573,   6.54009,    191.24,   3411.36,   17.8381,   17.3857
        23,       529,      1100,   1210000,   1.63334,   5.92651,  0.746617,   6.48257,   55.7448,   1092.98,   19.6069,   18.8041
        23,       529,      1200,   1440000,   1.93736,   5.94624,  0.885533,   6.50456,     73.08,    1420.5,   19.4376,   18.7147
        23,       529,      1300,   1690000,   2.26911,   5.95828,   1.03695,   6.51911,   93.7911,   1830.38,   19.5155,    18.851
        23,       529,      1400,   1960000,   2.62447,   5.97454,   1.20059,   6.53012,    118.32,   2288.52,   19.3417,    18.736
        23,       529,      1500,   2250000,   3.00637,   5.98729,   1.37743,   6.53388,   146.496,   2841.98,   19.3998,   18.8361
        23,       529,      1600,   2560000,   3.41125,   6.00367,   1.56468,   6.54446,   189.266,   3435.06,   18.1494,   17.6845
        24,       576,      1100,   1210000,   1.64437,   5.88675,  0.751365,   6.44161,   53.0599,   1102.61,   20.7805,   19.8827
        24,       576,      1200,   1440000,   1.95824,   5.88282,  0.890002,    6.4719,   68.0818,   1432.43,   21.0399,    20.195
        24,       576,      1300,   1690000,   2.30934,   5.85448,   1.04128,     6.492,    90.039,    1856.5,   20.6188,   19.8791
