thread-root,total-thread-count,matrix-width,matrix-size,copy-to-device[ms],bandwidth-to-device[GB/s],copy-from-device[ms],bandwidth-from-device[GB/s],kernel-matrix-multiplication[ms],cpu-matrix-multiplication[ms],speedup-kernel,speedup-overall
        27,       729,        11,       121, 0.0452298,0.024110575,  0.018522,0.028646665,0.06213515,0.00413815,0.06528689,0.031703325
        27,       729,        16,       256, 0.0410043,0.056989165,0.01770845,0.06417417,0.05893615, 0.0091109,0.14939005,0.073309885
        27,       729,        22,       484,0.05133745,0.08217896,0.02096305,0.098669585, 0.0690075,  0.026823,0.39973805, 0.1871014
        27,       729,        32,      1024, 0.0480376, 0.1933616,  0.019039,0.23703945,0.06917525,0.06410815, 0.8886659,0.44497995
        27,       729,        45,      2025,0.05338045,0.34638665,0.01968845,0.44566085,  0.070593, 0.1695526, 2.2903155,1.11901715
        27,       729,        64,      4096, 0.0719025, 0.4851103, 0.0242038,  0.703126, 0.0814289,0.59722805, 7.4046125,  3.297773
        27,       729,        90,      8100, 0.0683477, 1.0126785, 0.0243261, 1.3949285, 0.1183513,1.55701805, 12.973436, 7.2094045
