#Processes	Barrier() [s/process per iteration]	MPI_Barrier [s/process per iteration]
2;0.000025;0.000003;
4;0.000059;0.000006;
6;0.000108;0.000012;
8;0.000136;0.000027;
10;0.000187;0.000038;
12;0.000217;0.000052;
14;0.000239;0.000068;
16;0.000281;0.000083;
18;0.000359;0.000114;
20;0.000491;0.000176;
22;0.000653;0.000265;
24;0.000985;0.000366;
